Id,V,F,D,G,Ra
207,191.95,0.23,1.5,19.958,24.86799
208,57.95,0.23,0.5,53.5,38.936848
209,57.95,0.16,1.0,44.4,30.097916
210,84.78,0.16,0.5,56.95,35.260784
211,75.44,0.16,1.5,52.28,35.766987
212,75.7,0.4,1.5,18.4,45.171642
213,178.13,0.52,1.0,70.09,90.84592
214,178.13,0.06,0.5,13.12,8.972425
215,129.12,0.23,1.0,24.881999999999998,25.610916
216,191.95,0.16,1.0,12.6,14.0792465
217,178.13,0.32,1.0,54.26,49.96466
218,191.95,0.29,0.5,14.51,25.434011
219,115.17,0.32,1.5,54.11,51.69378
220,115.17,0.26,1.5,54.26,44.97238
221,81.58,0.52,1.0,54.26,82.99208
222,59.85,0.23,1.0,62.68,44.592438
223,84.78,0.16,1.0,53.44,34.574917
224,88.79,0.06,1.0,24.881999999999998,15.977196
225,199.49,0.23,1.5,16.8,23.283113
226,84.78,0.23,1.0,10.78,18.589666
227,81.58,0.16,1.0,53.498999999999995,34.606606
228,84.78,0.52,1.5,14.34,64.78162
229,53.44,0.4,1.5,28.66,50.376293
230,75.7,0.26,1.5,13.29,24.506254
231,75.44,0.52,1.5,52.28,83.778114
232,119.69,0.16,0.5,57.4,35.462006
233,191.95,0.06,0.5,12.6,8.703702
234,59.85,0.2,1.5,19.96,22.455185
235,178.13,0.06,0.5,41.28,23.03809
236,84.78,0.4,0.5,51.18,58.71985
237,59.85,0.2,1.5,44.4,34.690697
238,75.7,0.4,1.0,54.26,61.334343
239,115.17,0.32,1.0,51.5,48.627308
240,81.58,0.52,0.5,53.498999999999995,81.54145
241,178.13,0.2,1.5,8.809,16.764973
242,88.79,0.29,1.0,50.41,44.53035
243,57.95,0.16,1.0,66.31,41.059162
244,57.95,0.26,0.5,19.96,25.049347
245,199.49,0.06,1.0,42.96,24.93176
246,75.7,0.2,1.5,17.99,21.436897
247,59.85,0.32,1.0,28.66,37.284103
248,199.49,0.16,1.0,16.23,15.888365
249,119.69,0.2,0.5,59.378,39.278275
250,129.12,0.06,1.5,38.102,24.326075
251,81.58,0.29,1.5,13.44,27.804703
252,88.79,0.26,1.5,55.998999999999995,45.85959
253,84.78,0.4,1.5,13.54,42.736084
254,88.79,0.16,1.0,77.2,46.452442
255,57.95,0.26,0.5,10.78,20.455725
256,191.95,0.26,0.5,63.36,46.638393
257,59.85,0.23,1.5,56.95,43.493164
258,75.7,0.23,0.5,53.48,38.88065
259,191.95,0.06,0.5,12.09,8.449342
260,88.79,0.32,1.0,17.32,31.567049
261,178.13,0.29,1.5,13.44,27.740278
262,84.78,0.23,0.5,54.13,39.199245
263,178.13,0.16,1.0,13.45,14.508377
264,129.12,0.16,1.0,17.32,16.481466
265,84.78,0.29,1.0,38.102,38.37627
266,119.69,0.26,0.5,77.2,53.607525
267,59.85,0.32,1.0,13.12,29.516626
268,115.17,0.16,1.0,10.94,13.308834
269,199.49,0.16,0.5,75.52,44.46792
270,199.49,0.52,1.5,10.78,62.921555
271,115.17,0.16,1.0,51.2,33.433987
272,129.12,0.52,1.5,55.72,85.45503
273,84.78,0.23,1.5,14.52,22.224707
274,178.13,0.06,1.5,62.68,36.572296
275,75.7,0.06,0.5,62.19,33.5557
276,81.58,0.26,0.5,10.94,20.492952
277,199.49,0.06,1.0,54.13,30.513681
278,75.7,0.2,1.0,11.79,16.56876
279,106.88,0.32,1.5,13.29,31.30263
280,191.95,0.52,0.5,13.12,61.264328
281,59.85,0.06,1.5,52.28,31.479698
282,53.44,0.29,0.5,54.13,45.400696
283,59.85,0.23,1.5,18.4,24.206137
284,75.7,0.26,1.5,54.11,44.92344
285,57.95,0.4,1.0,57.4,62.966587
286,57.95,0.06,1.0,11.86,9.528034
287,75.7,0.2,1.0,41.28,31.325537
288,88.79,0.2,1.0,9.497,15.415438
289,129.12,0.06,1.0,8.809,7.922144
290,84.78,0.23,0.5,13.29,18.77534
291,59.85,0.32,1.5,53.44,51.434002
292,115.17,0.26,0.5,15.6,22.801828
293,81.58,0.4,0.5,14.51,40.391964
294,57.95,0.32,1.0,54.26,50.087265
295,53.44,0.4,1.0,62.68,65.62412
296,75.7,0.52,1.0,59.58,85.66437
297,59.85,0.32,0.5,42.96,43.362072
298,75.7,0.52,1.5,17.24,66.23884
299,81.58,0.26,1.5,55.72,45.724808
300,59.85,0.29,1.5,13.54,27.897896
301,88.79,0.52,1.0,17.24,64.46595
302,119.69,0.26,1.5,8.809,22.235641
303,106.88,0.26,1.5,70.09,52.895336
304,178.13,0.23,1.0,51.22,38.74736
305,81.58,0.23,0.5,62.19,43.23194
306,59.85,0.2,1.0,55.998999999999995,38.729237
307,129.12,0.23,1.0,52.28,39.312176
308,75.7,0.26,0.5,63.88,46.974754
309,57.95,0.4,1.5,63.36,67.712204
310,106.88,0.16,0.5,17.24,15.397833
311,115.17,0.26,1.0,38.102,35.12608
312,75.7,0.4,0.5,53.498999999999995,59.885056
313,129.12,0.29,1.5,10.78,26.442118
314,84.78,0.4,1.5,13.453,42.69259
315,59.85,0.2,0.5,55.998999999999995,37.657494
316,178.13,0.32,1.0,53.44,49.554955
317,59.85,0.16,0.5,24.881999999999998,19.255245
318,75.7,0.23,1.0,13.23,19.821413
319,191.95,0.2,1.5,13.23,18.966928
320,119.69,0.32,0.5,39.78,41.70013
321,119.69,0.52,0.5,19.83,64.670715
322,115.17,0.2,1.5,54.26,39.557667
323,115.17,0.4,1.5,52.28,62.08178
324,106.88,0.4,1.0,14.52,41.449062
325,115.17,0.52,1.0,64.54,88.11226
326,75.44,0.52,0.5,59.378,84.49309
327,199.49,0.2,1.0,8.809,14.995008
328,57.95,0.16,0.5,51.19,32.4241
329,75.44,0.52,1.0,9.497,60.601223
330,115.17,0.23,1.0,14.51,20.43355
331,57.95,0.32,0.5,19.958,31.872135
332,57.95,0.26,1.5,13.54,24.673477
333,88.79,0.26,0.5,75.52,52.787598
334,88.79,0.26,0.5,24.881999999999998,27.461988
335,178.13,0.52,0.5,59.58,84.517845
336,106.88,0.23,0.5,63.88,44.059082
337,129.12,0.4,1.5,53.5,62.682335
338,53.44,0.06,1.0,53.48,30.34073
339,75.44,0.06,0.5,15.6,10.27898
340,106.88,0.32,0.5,56.63,50.12755
341,75.7,0.06,0.5,56.95,30.938383
342,53.44,0.16,0.5,8.809,11.23019
343,75.7,0.16,1.5,40.11,29.68033
344,106.88,0.26,1.0,51.19,41.677135
345,53.44,0.32,1.0,40.11,43.031956
346,53.44,0.4,1.5,13.45,42.7699
347,57.95,0.52,1.5,11.86,63.612434
348,178.13,0.32,1.5,54.11,51.651836
349,59.85,0.26,0.5,54.26,42.20374
350,75.7,0.29,1.5,13.453,27.815126
351,199.49,0.29,0.5,44.4,40.38103
352,57.95,0.06,1.5,53.48,32.090954
353,129.12,0.52,0.5,70.09,89.80949
354,88.79,0.2,1.5,53.44,39.167297
355,53.44,0.52,1.5,17.24,66.32216
356,81.58,0.06,0.5,64.54,34.725227
357,88.79,0.06,1.5,14.52,12.546101
358,178.13,0.32,1.5,13.23,31.225183
359,191.95,0.2,1.0,63.88,42.546726
360,129.12,0.32,0.5,64.54,54.06552
361,59.85,0.23,1.0,13.54,20.008402
362,191.95,0.4,1.0,17.99,43.12715
363,129.12,0.2,0.5,19.958,19.545465
364,199.49,0.32,1.0,18.4,32.033417
365,178.13,0.26,0.5,39.78,34.854557
366,88.79,0.52,1.5,51.22,83.23125
367,129.12,0.2,1.0,52.28,36.789772
368,59.85,0.52,1.5,19.958,67.65856
369,129.12,0.2,1.5,59.378,42.10798
370,75.7,0.52,1.0,11.86,61.783268
371,106.88,0.52,1.5,56.63,85.92563
372,57.95,0.52,0.5,14.51,62.102486
373,115.17,0.23,0.5,51.18,37.70253
374,129.12,0.32,1.0,38.102,41.923897
375,84.78,0.29,1.0,15.6,27.12018
376,57.95,0.06,0.5,64.54,34.77155
377,178.13,0.32,0.5,53.498999999999995,48.516033
378,199.49,0.4,1.0,62.19,65.216125
379,53.44,0.16,1.0,55.72,35.778606
380,84.78,0.06,1.0,57.4,32.225452
381,53.44,0.16,0.5,61.89,37.794613
382,53.44,0.32,0.5,63.88,53.843384
383,129.12,0.4,1.0,17.32,42.833923
384,53.44,0.29,1.0,62.19,50.505165
385,106.88,0.52,0.5,9.497,59.50984
386,59.85,0.4,0.5,61.89,64.13441
387,75.7,0.2,1.0,10.94,16.143421
388,88.79,0.29,1.5,13.29,27.724855
389,129.12,0.2,1.5,42.96,33.892296
390,129.12,0.32,1.0,59.58,52.65517
391,129.12,0.32,1.5,12.6,30.94304
392,59.85,0.16,1.0,17.32,16.542837
393,178.13,0.32,1.5,11.86,30.540632
394,84.78,0.23,0.5,51.2,37.734093
395,115.17,0.52,1.5,44.4,79.80083
396,81.58,0.4,1.0,53.498999999999995,60.950035
397,84.78,0.52,0.5,55.72,82.65044
398,75.44,0.06,0.5,62.83,33.87548
399,81.58,0.23,1.0,63.36,44.886482
400,191.95,0.4,1.5,70.09,70.93366
401,84.78,0.23,0.5,42.96,33.613655
402,84.78,0.4,1.5,13.453,42.69259
403,57.95,0.29,1.5,50.41,46.35753
404,75.7,0.4,1.5,51.5,61.71822
405,129.12,0.52,0.5,40.11,74.81042
406,81.58,0.06,1.0,51.18,29.119638
407,75.44,0.29,1.0,50.41,44.539192
408,84.78,0.06,1.0,38.102,22.582077
409,199.49,0.2,0.5,53.5,36.276962
410,81.58,0.23,1.0,61.89,44.151405
411,129.12,0.26,1.5,55.998999999999995,45.83293
412,57.95,0.52,0.5,13.12,61.406796
413,106.88,0.2,1.5,62.19,43.5318
414,88.79,0.23,0.5,16.8,20.527924
415,53.44,0.06,1.5,10.94,10.822993
416,57.95,0.06,1.0,14.52,10.855883
417,84.78,0.29,1.5,13.23,27.69751
418,178.13,0.06,0.5,51.22,28.005344
419,59.85,0.4,1.0,14.51,41.511833
420,199.49,0.16,1.5,17.99,18.532633
421,199.49,0.16,0.5,17.32,15.372076
422,75.7,0.06,0.5,54.11,29.51917
423,115.17,0.23,0.5,52.28,38.252594
424,199.49,0.4,1.0,52.28,60.262478
425,178.13,0.16,1.5,64.54,41.827354
426,75.7,0.32,1.0,18.4,32.115326
427,75.44,0.06,0.5,51.5,28.215069
428,81.58,0.32,1.5,13.45,31.39943
429,53.44,0.32,1.0,17.99,31.975554
430,115.17,0.4,1.5,13.29,42.590805
431,178.13,0.06,1.0,44.4,25.665886
432,129.12,0.23,0.5,14.52,19.359015
433,81.58,0.52,0.5,13.453,61.506317
434,84.78,0.16,1.5,51.22,35.230446
435,191.95,0.16,0.5,28.66,21.040163
436,53.44,0.06,1.5,62.68,36.71518
437,115.17,0.32,1.0,17.24,31.509624
438,84.78,0.26,1.5,14.45,25.080519
439,81.58,0.52,1.5,19.958,67.59471
440,81.58,0.23,1.0,16.23,21.317604
441,57.95,0.52,1.5,52.28,83.84362
442,106.88,0.29,0.5,53.44,44.96439
443,106.88,0.4,1.0,19.958,44.16732
444,178.13,0.4,1.5,53.498999999999995,62.6491
445,119.69,0.29,1.5,13.54,27.82931
446,57.95,0.26,1.5,13.45,24.62844
447,106.88,0.23,0.5,53.498999999999995,38.868034
448,119.69,0.29,1.5,57.4,49.770504
449,178.13,0.32,1.5,13.45,31.335112
450,119.69,0.23,0.5,24.881999999999998,24.54798
451,129.12,0.4,1.5,53.498999999999995,62.68184
452,84.78,0.23,1.5,50.41,40.174046
453,84.78,0.26,1.5,10.78,23.24467
454,59.85,0.29,1.5,13.45,27.852854
455,88.79,0.29,0.5,64.54,50.52884
456,191.95,0.06,1.5,19.96,15.1897545
457,115.17,0.06,0.5,12.09,8.501427
458,191.95,0.23,1.5,19.83,24.80397
459,129.12,0.23,1.0,54.11,40.22728
460,199.49,0.26,0.5,16.8,23.346714
461,115.17,0.23,1.5,19.958,24.922842
462,75.44,0.52,1.0,51.22,81.48123
463,115.17,0.2,0.5,8.751,13.942038
464,115.17,0.16,1.5,17.24,18.215445
465,106.88,0.23,1.0,52.28,39.327957
466,191.95,0.29,1.5,51.18,46.610718
467,59.85,0.32,1.0,42.96,44.431778
468,106.88,0.23,1.5,62.68,46.29433
469,88.79,0.06,1.0,13.45,10.264185
470,129.12,0.26,0.5,66.31,48.155
471,88.79,0.29,1.5,53.44,47.810097
472,81.58,0.29,1.5,41.28,41.731804
473,81.58,0.52,0.5,54.13,81.85715
474,119.69,0.26,0.5,62.19,46.100674
475,191.95,0.06,0.5,38.102,21.440575
476,119.69,0.16,1.0,75.52,45.591564
477,81.58,0.4,0.5,44.4,55.332893
478,199.49,0.52,0.5,18.4,63.90078
479,191.95,0.29,0.5,70.09,53.236732
480,75.44,0.52,0.5,12.09,60.8286
481,75.44,0.23,1.0,53.498999999999995,39.959824
482,75.7,0.2,1.0,54.13,37.75567
483,199.49,0.4,1.5,53.498999999999995,62.63483
484,88.79,0.4,1.5,14.52,43.2233
485,57.95,0.29,0.5,19.958,28.281982
486,84.78,0.29,0.5,53.498999999999995,45.008545
487,191.95,0.52,0.5,64.54,86.98991
488,59.85,0.32,0.5,18.4,31.086058
489,57.95,0.52,0.5,8.751,59.220154
490,191.95,0.52,1.5,11.79,63.432083
491,191.95,0.26,1.5,14.52,25.044703
492,81.58,0.23,1.0,39.78,33.09524
493,81.58,0.23,1.5,16.8,23.367346
494,119.69,0.4,1.5,13.45,42.66777
495,199.49,0.29,1.0,15.6,27.044138
496,53.44,0.23,1.0,8.809,17.666882
497,59.85,0.23,0.5,52.28,38.31898
498,199.49,0.26,1.5,51.152,43.36218
499,191.95,0.23,1.5,53.5,41.642815
500,129.12,0.32,0.5,13.29,28.458406
501,115.17,0.2,1.0,38.102,29.705599
502,129.12,0.06,1.5,19.83,15.167799
503,106.88,0.16,1.0,41.28,28.478762
504,81.58,0.06,0.5,51.19,28.05598
505,81.58,0.16,1.5,10.94,15.060804
506,115.17,0.06,0.5,9.497,7.2081766
507,53.44,0.2,0.5,53.48,36.422375
508,75.7,0.52,1.0,59.58,85.66437
509,75.44,0.2,1.5,19.83,22.357893
510,57.95,0.2,1.0,55.72,38.597244
511,57.95,0.32,1.5,16.8,33.1261
512,75.44,0.23,0.5,62.68,43.481323
513,119.69,0.32,1.0,54.13,49.938374
514,59.85,0.2,0.5,42.96,31.130144
515,53.44,0.4,1.5,19.96,46.025497
516,178.13,0.52,0.5,16.23,62.82971
517,199.49,0.29,1.0,59.378,48.943
518,115.17,0.2,1.0,40.11,30.7104
519,59.85,0.26,1.0,40.11,36.194927
520,119.69,0.29,0.5,56.63,46.551613
521,199.49,0.32,0.5,24.881999999999998,34.203686
522,81.58,0.4,1.0,42.96,55.681976
523,106.88,0.16,1.0,70.09,42.886314
524,178.13,0.29,1.5,24.881999999999998,33.464226
525,178.13,0.29,1.5,13.45,27.74528
526,191.95,0.16,0.5,17.99,15.704218
527,178.13,0.06,0.5,11.86,8.344004
528,129.12,0.52,1.0,8.809,60.220352
529,81.58,0.16,0.5,13.45,13.514439
530,75.7,0.29,0.5,70.09,53.313744
531,106.88,0.16,1.5,77.2,48.204533
532,75.44,0.2,1.0,13.29,17.319553
533,57.95,0.16,0.5,17.99,15.814634
534,57.95,0.23,1.5,54.11,42.07992
535,84.78,0.32,1.0,16.8,31.309889
536,84.78,0.4,1.5,59.378,65.65034
537,115.17,0.2,1.5,51.19,38.0214
538,191.95,0.2,0.5,18.4,18.718613
539,119.69,0.4,1.5,55.998999999999995,63.937878
540,106.88,0.29,1.0,70.09,54.36274
541,191.95,0.23,0.5,59.58,41.84851
542,84.78,0.32,1.5,40.11,44.718597
543,199.49,0.32,1.5,17.24,33.214645
544,106.88,0.16,1.5,38.102,28.654675
545,119.69,0.29,0.5,14.45,25.451899
546,115.17,0.32,1.5,75.52,62.412117
547,75.7,0.16,1.0,8.751,12.22232
548,129.12,0.06,1.0,15.6,11.309132
549,59.85,0.16,1.0,19.958,17.862589
550,129.12,0.32,1.5,12.09,30.688206
551,75.44,0.06,1.5,24.881999999999998,17.756016
552,53.44,0.23,1.0,9.497,18.011105
553,75.44,0.16,1.5,44.4,31.826027
554,53.44,0.23,0.5,19.96,22.17502
555,191.95,0.06,1.0,14.34,10.63809
556,115.17,0.16,1.5,13.12,16.154943
557,129.12,0.29,1.5,56.95,49.539097
558,191.95,0.4,1.0,19.96,44.111885
559,53.44,0.16,1.5,13.29,16.317423
560,119.69,0.52,1.0,54.26,82.96606
561,191.95,0.26,1.0,28.66,30.353525
562,199.49,0.29,1.0,13.44,25.963503
563,129.12,0.23,1.0,8.751,17.543444
564,59.85,0.23,1.0,59.378,42.940598
565,75.7,0.4,0.5,66.31,66.28881
566,81.58,0.06,0.5,56.95,30.93439
567,129.12,0.52,1.0,75.52,93.596054
568,115.17,0.2,1.5,14.51,19.665548
569,199.49,0.4,1.5,53.48,62.625336
570,129.12,0.2,1.5,13.45,19.12454
571,53.44,0.52,1.0,59.378,85.64655
572,57.95,0.52,1.0,51.18,81.52666
573,57.95,0.2,1.0,66.31,43.897903
574,59.85,0.06,1.5,13.45,12.039698
575,57.95,0.2,1.5,14.51,19.73441
576,178.13,0.32,1.5,42.96,46.080475
577,191.95,0.4,1.5,53.44,62.610374
578,178.13,0.52,0.5,52.28,80.86563
579,88.79,0.52,1.0,62.83,87.27475
580,191.95,0.4,1.0,57.4,62.826782
581,84.78,0.29,0.5,12.09,24.294346
582,59.85,0.32,0.5,8.751,26.26313
583,178.13,0.23,0.5,11.79,17.958889
584,75.7,0.29,1.0,18.4,28.526903
585,178.13,0.4,0.5,12.09,39.118233
586,106.88,0.23,1.0,28.66,27.516169
587,81.58,0.26,0.5,8.751,19.398018
588,59.85,0.32,1.5,70.09,59.765144
589,119.69,0.52,1.0,39.78,75.72167
590,75.7,0.2,1.5,10.78,17.82878
591,59.85,0.26,0.5,53.498999999999995,41.822998
592,84.78,0.52,0.5,8.809,59.180733
593,59.85,0.16,0.5,17.24,15.451162
594,191.95,0.16,0.5,62.19,37.808136
595,84.78,0.52,1.5,56.63,85.94083
596,88.79,0.06,1.5,28.66,19.634962
597,119.69,0.29,1.0,15.6,27.09704
598,57.95,0.2,1.0,66.31,43.897903
599,191.95,0.32,1.0,13.54,29.61015
600,57.95,0.4,1.5,62.68,67.37214
601,88.79,0.16,1.0,53.5,34.60219
