Id,V,F,D,G,Ra
106,178.13,0.06,1,62.68,34.8200206
107,53.44,0.52,1.5,15.6,65.46721482
108,115.17,0.23,1.5,13.12,21.49691724
109,115.17,0.26,1.5,53.48,44.55811724
110,199.49,0.16,1.5,8.809,13.9539169
111,81.58,0.06,1.5,11.79,11.20486813
112,191.95,0.16,1,11.86,13.71797873
113,75.7,0.23,1.5,44.4,37.18218947
114,81.58,0.29,0.5,53.44,44.97490033
115,191.95,0.32,1,70.09,57.88577873
116,59.85,0.23,1.5,11.79,20.91217345
117,199.49,0.06,1.5,39.78,25.1274169
118,75.7,0.2,0.5,24.882,22.06182167
119,84.78,0.4,1,13.23,40.81123418
120,129.12,0.32,1.5,14.52,31.88953641
121,106.88,0.32,0.5,16.8,30.21268414
122,191.95,0.4,1,62.19,65.22537873
123,84.78,0.29,1.5,41.28,41.72324142
124,53.44,0.23,0.5,59.378,41.89324702
125,191.95,0.2,1.5,51.18,37.96378597
126,81.58,0.4,1,13.44,40.92086089
127,84.78,0.32,1,54.26,50.03663418
128,57.95,0.06,1,70.09,38.64144438
129,75.44,0.06,0.5,51.18,28.07687694
130,53.44,0.29,1.5,28.66,35.48241482
131,119.69,0.29,0.5,55.72,46.07587044
132,75.7,0.32,0.5,55.999,49.85072167
133,59.85,0.29,1,40.11,39.42396621
134,75.44,0.16,1,51.2,33.4684375
135,75.7,0.06,1,55.72,31.41598222
136,119.69,0.32,1.5,53.499,51.38513824
137,115.17,0.4,1.5,51.152,61.50451724
138,199.49,0.16,0.5,57.4,35.4164491
139,59.85,0.4,0.5,63.88,65.11580565
140,59.85,0.06,1,39.78,23.48096621
141,129.12,0.32,0.5,10.94,27.26656861
142,53.44,0.06,1.5,62.83,36.78941482
143,84.78,0.2,1,14.51,17.93123418
144,115.17,0.2,1,15.6,18.44511
145,75.7,0.06,0.5,12.6,8.786421667
146,115.17,0.26,1,51.22,41.66471
147,88.79,0.29,1.5,12.09,27.12291437
148,59.85,0.32,1.5,8.809,29.12367345
149,88.79,0.29,1.5,59.378,50.76691437
150,129.12,0.23,1,57.4,41.86412916
151,53.44,0.23,1,12.09,19.31880758
152,191.95,0.32,1.5,12.09,30.64918597
153,59.85,0.06,1.5,54.13,32.41937345
154,53.44,0.26,1,41.28,36.79500758
155,129.12,0.29,0.5,14.52,25.46976861
156,106.88,0.32,1,19.96,32.8622447
157,75.7,0.16,0.5,13.54,13.56842167
158,59.85,0.32,1,19.83,32.87076621
159,178.13,0.06,0.5,53.5,29.16046005
160,129.12,0.23,1,28.66,27.49412916
161,88.79,0.4,1,24.882,46.63190712
162,57.95,0.52,0.5,51.2,80.41968382
163,75.7,0.26,1,28.66,30.42998222
164,84.78,0.2,1,63.88,42.61623418
165,88.79,0.4,0.5,66.31,66.27634657
166,106.88,0.23,1,44.4,35.3802447
167,75.44,0.29,1.5,14.51,28.35284474
168,81.58,0.2,0.5,56.95,38.08630033
169,178.13,0.32,1.5,52.28,50.74822785
170,75.44,0.06,1,59.58,33.3464375
171,81.58,0.2,1.5,17.24,21.06426813
172,199.49,0.23,1.5,51.152,40.4762169
173,88.79,0.2,1,55.72,38.53090712
174,178.13,0.4,1,28.66,48.4644206
175,191.95,0.2,1.5,50.41,37.57878597
176,57.95,0.32,1.5,61.89,55.66965162
177,119.69,0.16,0.5,63.36,38.42987044
178,115.17,0.23,1.5,13.12,21.49691724
179,178.13,0.26,0.5,11.79,20.84946005
180,191.95,0.29,1.5,17.32,29.67738597
181,106.88,0.26,1,51.152,41.6374447
182,84.78,0.2,0.5,19.83,19.52167362
183,106.88,0.32,0.5,66.31,54.96768414
184,119.69,0.29,1,51.152,44.861431
185,75.44,0.4,0.5,59.378,62.83027694
186,53.44,0.06,1.5,11.86,11.30441482
187,59.85,0.26,1,63.36,47.81496621
188,115.17,0.23,1,57.4,41.87351
189,81.58,0.2,0.5,13.23,16.22630033
190,115.17,0.32,1.5,54.11,51.69391724
191,115.17,0.06,1,13.453,10.23721
192,57.95,0.29,1,40.11,39.42944438
193,57.95,0.29,0.5,39.78,38.19488382
194,57.95,0.52,0.5,63.88,86.75968382
195,88.79,0.32,1.5,39.78,44.55471437
196,115.17,0.2,0.5,75.52,47.33554944
197,115.17,0.06,1,56.95,31.98571
198,178.13,0.4,1.5,13.29,42.54282785
199,199.49,0.16,1,54.26,34.91600965
200,59.85,0.23,0.5,13.29,18.82920565
201,75.7,0.26,1.5,51.152,43.43938947
202,115.17,0.32,1.5,62.19,55.73391724
203,75.7,0.2,1,44.4,32.89038222
204,53.44,0.32,0.5,24.882,34.34724702
205,178.13,0.32,1,12.6,29.1448206
206,53.44,0.23,0.5,57.4,40.90424702
207,53.44,0.06,1.5,59.378,35.06341482
208,59.85,0.29,1,12.6,25.66896621
209,178.13,0.52,1,16.23,63.8878206
210,75.44,0.4,1,64.54,66.4808375
211,59.85,0.2,0.5,56.95,38.13080565
212,129.12,0.2,1,13.45,17.36072916
213,88.79,0.29,1.5,59.58,50.86791437
214,75.44,0.06,1.5,17.99,14.31484474
215,84.78,0.29,1.5,62.83,52.49824142
216,106.88,0.23,1,17.32,21.8402447
217,119.69,0.06,0.5,51.152,28.01387044
218,106.88,0.2,0.5,13.45,16.30728414
219,75.7,0.16,1.5,54.13,36.69638947
220,57.95,0.23,1.5,14.52,22.28265162
221,59.85,0.52,0.5,18.4,64.01420565
222,57.95,0.32,1.5,24.882,37.16565162
223,53.44,0.52,0.5,38.102,73.88524702
224,106.88,0.26,0.5,13.29,21.63688414
225,53.44,0.26,0.5,17.32,23.74544702
226,81.58,0.4,1,59.378,63.88986089
227,191.95,0.4,0.5,53.5,59.81081817
228,57.95,0.06,1.5,39.78,25.24985162
229,53.44,0.2,1,28.3,24.89540758
230,129.12,0.4,0.5,53.499,59.83566861
231,81.58,0.26,1.5,70.09,52.89886813
232,84.78,0.26,1.5,50.41,43.05424142
233,88.79,0.52,1,55.999,83.82880712
234,53.44,0.06,1.5,53.48,32.11441482
235,178.13,0.06,1.5,63.88,37.18342785
236,84.78,0.06,0.5,63.36,34.15227362
237,81.58,0.29,1.5,13.45,27.81286813
238,106.88,0.26,1.5,51.22,43.43485194
239,53.44,0.32,0.5,70.09,56.95124702
240,81.58,0.06,0.5,61.89,33.42190033
241,106.88,0.52,0.5,41.28,75.38068414
242,75.7,0.16,0.5,15.6,14.59842167
243,75.44,0.32,1,13.44,29.6412375
244,75.7,0.16,0.5,18.4,15.99842167
245,57.95,0.29,0.5,14.34,25.47488382
246,129.12,0.2,1.5,51.152,37.97513641
247,129.12,0.16,0.5,51.18,32.33376861
248,199.49,0.16,1,62.83,39.20100965
249,59.85,0.52,0.5,54.26,81.94420565
250,199.49,0.23,1,19.96,23.11680965
251,75.7,0.32,1,17.99,31.91578222
252,88.79,0.29,0.5,53.5,44.99494657
253,88.79,0.23,1,51.18,38.78930712
254,81.58,0.16,1.5,9.497,14.37036813
255,129.12,0.29,1,39.78,39.16932916
256,106.88,0.16,1,63.88,39.7694447
257,57.95,0.32,1,51.19,48.55624438
258,119.69,0.26,1,53.5,42.801431
259,119.69,0.06,1.5,54.11,32.32583824
260,129.12,0.4,1.5,13.453,42.64563641
261,57.95,0.52,1.5,42.96,79.13265162
262,75.7,0.16,1.5,13.12,16.19138947
263,129.12,0.32,1.5,13.453,31.35603641
264,199.49,0.06,1,40.11,23.52900965
265,191.95,0.29,1.5,12.6,27.31738597
266,106.88,0.23,1.5,55.999,42.94315194
267,115.17,0.4,1,16.8,42.56511
268,81.58,0.4,1.5,64.54,68.23426813
269,199.49,0.2,1.5,11.86,18.3018169
270,106.88,0.23,1,55.72,41.0402447
271,199.49,0.4,0.5,15.6,40.8588491
272,81.58,0.23,0.5,14.34,19.30970033
273,115.17,0.16,0.5,53.48,33.49314944
274,119.69,0.23,0.5,13.45,18.82567044
275,53.44,0.29,1,13.54,26.15900758
276,84.78,0.06,0.5,19.83,12.38727362
277,191.95,0.4,1.5,62.19,66.98878597
278,129.12,0.06,1,61.89,34.44632916
279,84.78,0.2,1,14.52,17.93623418
280,191.95,0.26,1,52.28,42.15997873
281,115.17,0.26,1.5,9.497,22.56661724
282,119.69,0.16,1,50.41,33.024431
283,75.44,0.06,0.5,57.4,31.18687694
284,106.88,0.2,1,57.4,39.3518447
285,129.12,0.23,0.5,57.4,40.79456861
286,88.79,0.32,1.5,51.18,50.25471437
287,106.88,0.32,0.5,55.72,49.67268414
288,53.44,0.26,0.5,41.28,35.72544702
289,81.58,0.29,1,52.28,45.46446089
290,119.69,0.52,1.5,62.19,88.65863824
291,115.17,0.29,1,44.4,41.48871
292,84.78,0.4,1,62.83,65.61123418
293,84.78,0.16,1,50.41,33.05883418
294,115.17,0.4,0.5,51.152,58.67154944
295,59.85,0.2,1,77.2,49.32536621
296,84.78,0.52,1,28.3,69.98463418
297,84.78,0.06,0.5,59.378,32.16127362
298,59.85,0.06,0.5,11.86,8.451405648
299,106.88,0.52,0.5,59.58,84.53068414
300,75.44,0.4,1,51.2,59.8108375
301,115.17,0.06,0.5,53.44,29.16114944
302,129.12,0.2,1.5,8.751,16.77463641
303,129.12,0.06,0.5,56.63,30.74676861
304,75.7,0.52,0.5,64.54,87.04922167
305,119.69,0.06,1,28.3,17.657431
306,75.44,0.52,1,51.2,81.4492375
307,115.17,0.16,0.5,28.3,20.90314944
308,75.7,0.2,0.5,38.102,28.67182167
309,88.79,0.52,1,52.28,81.96930712
310,119.69,0.2,1.5,62.19,43.50023824
311,115.17,0.52,0.5,19.958,64.71294944
312,199.49,0.26,1,14.52,23.27800965
313,53.44,0.29,1,14.45,26.61400758
314,191.95,0.2,1,16.23,18.72537873
315,119.69,0.16,0.5,13.12,13.30987044
316,191.95,0.52,1.5,13.23,64.14718597
317,129.12,0.32,1.5,50.41,49.83453641
318,129.12,0.23,0.5,51.152,37.67056861
319,199.49,0.06,1,70.09,38.51900965
320,59.85,0.4,1.5,28.3,50.15877345
321,199.49,0.2,1,62.83,42.02340965
322,81.58,0.23,0.5,54.13,39.20470033
323,75.44,0.2,1.5,66.31,45.60924474
324,129.12,0.2,1.5,19.96,22.37913641
325,81.58,0.29,0.5,15.6,26.05490033
326,59.85,0.26,1,19.83,26.04996621
327,75.7,0.52,1,11.79,61.74378222
328,81.58,0.06,1,13.45,10.27146089
329,119.69,0.23,1,63.36,44.850231
330,81.58,0.4,1,14.52,41.46086089
331,81.58,0.23,0.5,53.5,38.88970033
332,81.58,0.23,0.5,9.497,16.88820033
333,75.44,0.32,1,62.83,54.3362375
334,81.58,0.23,1,55.999,41.20876089
335,199.49,0.4,0.5,16.23,41.1738491
336,129.12,0.29,1.5,50.41,46.24773641
337,199.49,0.29,1.5,9.497,25.7639169
338,129.12,0.26,1.5,56.63,46.12373641
339,199.49,0.26,1.5,51.19,43.3764169
340,84.78,0.29,1,19.83,29.23483418
341,57.95,0.23,1,14.34,20.42924438
342,115.17,0.29,1.5,28.3,35.20211724
343,84.78,0.52,0.5,15.6,62.56507362
344,129.12,0.06,1,62.83,34.91632916
345,191.95,0.4,1,53.44,60.85037873
346,106.88,0.26,1.5,11.86,23.75485194
347,59.85,0.2,0.5,53.44,36.37580565
348,59.85,0.29,0.5,57.4,46.99940565
349,88.79,0.29,0.5,24.882,30.68594657
350,84.78,0.32,0.5,14.34,29.00707362
351,199.49,0.32,0.5,13.453,28.4957491
352,88.79,0.23,0.5,17.24,20.74974657
353,88.79,0.4,1.5,55.999,63.95381437
354,59.85,0.2,0.5,24.882,22.09680565
355,84.78,0.16,0.5,56.63,35.09927362
356,191.95,0.52,1.5,41.28,78.17218597
357,75.7,0.26,1,77.2,54.69998222
358,59.85,0.29,1.5,14.45,28.35737345
359,81.58,0.16,0.5,59.58,36.57890033
360,88.79,0.23,1,56.63,41.51430712
361,106.88,0.2,1,11.86,16.5818447
362,84.78,0.16,1.5,13.453,16.34374142
363,178.13,0.2,0.5,50.41,34.74986005
364,84.78,0.52,1.5,13.12,64.15804142
365,119.69,0.2,1.5,28.66,26.73523824
366,53.44,0.32,1,39.78,42.86580758
367,191.95,0.29,0.5,53.48,44.92441817
368,129.12,0.26,1,51.19,41.64032916
369,129.12,0.52,1.5,51.22,83.16753641
370,199.49,0.26,1.5,11.79,23.6764169
371,119.69,0.06,1,59.378,33.196431
372,53.44,0.32,0.5,28.66,36.23624702
373,81.58,0.2,0.5,14.34,16.78130033
374,75.44,0.29,0.5,54.26,45.39487694
375,81.58,0.32,1,53.5,49.66126089
376,53.44,0.4,1,59.58,64.05540758
377,75.7,0.06,1,62.19,34.65098222
378,106.88,0.52,1,54.26,82.9402447
379,191.95,0.23,1,15.6,20.93877873
380,59.85,0.23,1,17.32,21.91376621
381,129.12,0.06,0.5,17.24,11.05176861
382,88.79,0.4,1,55.999,62.19040712
383,84.78,0.16,1,62.19,38.94883418
384,75.7,0.16,0.5,59.378,36.48742167
385,75.7,0.29,1.5,8.751,25.47288947
386,129.12,0.23,1,13.12,19.72412916
387,115.17,0.2,1,51.18,36.23511
388,88.79,0.4,1.5,44.4,58.15431437
389,57.95,0.2,0.5,55.999,37.66078382
390,59.85,0.26,0.5,53.44,41.78540565
391,84.78,0.4,0.5,55.72,60.98667362
392,75.44,0.2,1,13.54,17.4608375
393,59.85,0.4,1,66.31,67.40036621
394,59.85,0.26,1,14.52,23.39496621
395,199.49,0.32,0.5,64.54,54.0392491
396,53.44,0.32,1.5,16.23,32.85421482
397,106.88,0.23,1.5,14.45,22.16865194
398,81.58,0.29,0.5,51.18,43.84490033
399,115.17,0.52,1.5,16.8,65.96691724
400,119.69,0.52,1.5,70.09,92.60863824
401,81.58,0.16,0.5,51.18,32.37890033
402,75.44,0.29,0.5,56.95,46.73987694
403,191.95,0.06,1,17.99,12.47097873
404,178.13,0.32,0.5,9.497,26.52376005
405,106.88,0.32,0.5,54.26,48.94268414
406,75.44,0.52,0.5,41.28,75.41967694
407,88.79,0.06,1.5,18.4,14.49991437
408,57.95,0.29,1.5,56.63,49.45285162
409,75.44,0.52,1.5,77.2,96.21264474
410,59.85,0.06,1,28.3,17.74096621
411,84.78,0.23,1,9.497,17.95313418
412,119.69,0.4,0.5,15.6,40.89227044
413,199.49,0.26,1,75.52,53.77800965
414,88.79,0.06,1.5,51.5,31.04991437
415,81.58,0.4,0.5,12.09,39.17630033
416,199.49,0.32,1.5,28.3,38.7522169
417,75.7,0.16,0.5,56.63,35.11342167
418,75.44,0.29,1,13.45,26.0594375
419,75.7,0.26,1.5,11.86,23.79338947
420,59.85,0.2,1.5,44.4,34.68877345
421,119.69,0.16,1.5,16.23,17.69783824
422,81.58,0.52,0.5,54.13,81.83470033
423,199.49,0.32,1.5,56.95,53.0772169
424,199.49,0.29,1.5,8.809,25.4199169
425,199.49,0.4,1,18.4,43.32840965
426,81.58,0.16,1.5,52.28,35.76186813
427,191.95,0.16,1.5,51.152,35.12738597
428,129.12,0.16,1,63.88,39.75332916
429,191.95,0.32,1.5,10.78,29.99418597
430,53.44,0.4,1,66.31,67.42040758
431,88.79,0.23,1.5,13.453,21.68921437
432,53.44,0.06,1.5,17.24,13.99441482
433,75.7,0.06,1.5,18.4,14.51938947
434,75.7,0.26,0.5,13.44,21.75042167
435,84.78,0.2,0.5,44.4,31.80667362
436,81.58,0.26,1.5,8.809,22.25836813
437,53.44,0.16,1,53.499,34.67250758
438,129.12,0.26,0.5,14.52,22.23576861
439,115.17,0.2,1.5,13.44,19.12851724
440,129.12,0.23,1,66.31,46.31912916
441,81.58,0.32,1.5,19.96,34.65466813
442,53.44,0.4,1,62.19,65.36040758
443,191.95,0.29,1,75.52,57.01397873
444,75.7,0.2,1,56.63,39.00538222
445,53.44,0.23,0.5,13.29,18.84924702
446,81.58,0.2,1,55.999,38.68036089
447,129.12,0.26,1,9.497,20.79382916
448,75.7,0.26,1.5,51.2,43.46338947
449,75.7,0.32,0.5,52.28,47.99122167
450,81.58,0.2,1,51.22,36.29086089
451,57.95,0.23,0.5,13.44,18.90968382
452,53.44,0.16,1,77.2,46.52300758
453,59.85,0.16,1,11.86,13.83296621
454,75.7,0.23,0.5,18.4,21.34922167
455,57.95,0.06,0.5,54.13,29.59188382
456,75.44,0.32,1.5,51.18,50.27464474
457,129.12,0.23,0.5,53.5,38.84456861
458,84.78,0.29,1.5,9.497,25.83174142
459,115.17,0.2,0.5,63.36,41.25554944
460,75.44,0.4,0.5,62.83,64.55627694
461,199.49,0.52,1,9.497,60.51530965
462,191.95,0.26,0.5,66.31,48.10541817
463,119.69,0.06,1,8.751,7.882930997
464,115.17,0.4,0.5,19.83,43.01054944
465,129.12,0.23,0.5,62.19,43.18956861
466,115.17,0.32,1,13.453,29.60201
467,59.85,0.52,1.5,77.2,96.24717345
468,75.7,0.26,1,54.11,43.15498222
469,178.13,0.06,1,63.88,35.4200206
470,191.95,0.29,1.5,64.54,53.28738597
471,57.95,0.4,0.5,51.22,58.79128382
472,81.58,0.06,1,19.96,13.52646089
473,75.7,0.32,0.5,50.41,47.05622167
474,53.44,0.4,1,28.66,48.59540758
475,119.69,0.52,0.5,70.09,89.77567044
476,119.69,0.32,1.5,51.2,50.23563824
477,81.58,0.4,1,18.4,43.40086089
478,106.88,0.16,1,9.497,12.5779447
479,129.12,0.16,1.5,13.23,16.19173641
480,59.85,0.29,0.5,19.96,28.27940565
481,53.44,0.52,1,51.19,81.49880758
482,119.69,0.16,1,64.54,40.089431
483,129.12,0.2,1.5,51.2,37.99913641
484,199.49,0.06,0.5,53.499,29.1539491
485,178.13,0.4,0.5,17.32,41.72486005
486,129.12,0.29,1,77.2,57.87932916
487,129.12,0.32,1,38.102,41.91712916
488,53.44,0.26,0.5,38.102,34.13644702
489,191.95,0.23,1,10.94,18.60877873
490,106.88,0.26,1.5,70.09,52.86985194
491,57.95,0.16,1.5,56.95,38.14685162
492,115.17,0.26,1,54.26,43.18471
493,75.44,0.4,1,51.5,59.9608375
494,88.79,0.06,1.5,51.5,31.04991437
495,81.58,0.06,1,57.4,32.24646089
496,191.95,0.52,1.5,59.378,87.22118597
497,53.44,0.29,1,14.45,26.61400758
498,75.7,0.52,0.5,51.152,80.35522167
499,57.95,0.52,1.5,40.11,77.70765162
500,119.69,0.29,1.5,17.99,30.04383824
501,119.69,0.32,1,39.78,42.762231
502,199.49,0.16,0.5,39.78,26.6064491
503,178.13,0.52,0.5,14.51,61.95826005
504,199.49,0.29,1.5,13.12,27.5754169
505,106.88,0.06,1.5,61.89,36.22585194
506,199.49,0.16,1,13.44,14.50600965
507,75.44,0.52,1.5,54.13,84.67764474
508,119.69,0.52,1.5,18.4,66.76363824
509,59.85,0.2,1,12.6,17.02536621
510,106.88,0.52,1.5,9.497,62.32215194
511,57.95,0.29,1.5,63.88,53.07785162
512,57.95,0.32,1,51.18,48.55124438
513,81.58,0.26,1,62.19,47.18546089
514,53.44,0.16,0.5,13.44,13.57344702
515,119.69,0.29,1.5,51.152,46.62483824
516,75.44,0.2,1.5,63.88,44.39424474
517,81.58,0.52,0.5,52.28,80.90970033
518,57.95,0.52,0.5,10.94,60.28968382
519,106.88,0.16,1.5,16.23,17.70785194
520,88.79,0.23,1.5,53.44,41.68271437
521,199.49,0.2,0.5,28.3,23.6888491
522,75.7,0.06,0.5,55.999,30.48592167
523,59.85,0.29,0.5,14.34,25.46940565
524,57.95,0.26,1.5,51.5,43.65385162
525,106.88,0.26,0.5,13.45,21.71688414
526,59.85,0.23,1.5,19.958,24.99617345
527,199.49,0.06,1.5,63.88,37.1774169
528,115.17,0.4,0.5,63.88,65.03554944
529,59.85,0.16,0.5,10.94,12.30340565
530,191.95,0.29,0.5,52.28,44.32441817
531,129.12,0.26,0.5,55.999,42.97526861
532,115.17,0.29,1,13.12,25.84871
533,129.12,0.4,1,28.3,48.30572916
534,129.12,0.4,1,54.11,61.21072916
535,75.7,0.29,0.5,17.32,26.92442167
536,75.44,0.06,1,38.102,22.6074375
537,53.44,0.4,1.5,10.94,41.49881482
538,75.7,0.32,1.5,10.94,30.15418947
539,129.12,0.26,0.5,77.2,53.57576861
540,81.58,0.06,1.5,42.96,26.78986813
541,88.79,0.4,1.5,14.52,43.21431437
542,199.49,0.52,1.5,9.497,62.2787169
543,88.79,0.06,1.5,75.52,43.05991437
544,84.78,0.26,0.5,11.86,20.94627362
545,53.44,0.16,0.5,62.83,38.26844702
546,84.78,0.23,1.5,28.66,29.29804142
547,178.13,0.4,0.5,55.72,60.92486005
548,75.7,0.23,0.5,44.4,34.34922167
549,106.88,0.2,0.5,55.999,37.58178414
550,115.17,0.52,0.5,15.6,62.53394944
551,129.12,0.06,1,56.63,31.81632916
552,106.88,0.29,1.5,8.809,25.46335194
553,57.95,0.4,1.5,66.31,69.16925162
554,75.7,0.23,0.5,54.26,39.27922167
555,53.44,0.32,0.5,17.24,30.52624702
556,119.69,0.23,1.5,52.28,41.07363824
557,199.49,0.52,0.5,62.68,86.0372491
558,106.88,0.32,0.5,53.44,48.53268414
559,75.7,0.4,1,63.88,66.15038222
560,88.79,0.29,1.5,13.23,27.69291437
561,53.44,0.32,0.5,62.68,53.24624702
562,53.44,0.26,0.5,50.41,40.29044702
563,106.88,0.2,1,54.26,37.7818447
564,53.44,0.23,0.5,17.24,20.82424702
565,59.85,0.26,0.5,53.5,41.81540565
566,59.85,0.23,1,51.152,38.82976621
567,119.69,0.52,1,17.99,64.795231
568,115.17,0.23,1,62.19,44.26851
569,88.79,0.4,1.5,44.4,58.15431437
570,106.88,0.23,0.5,14.45,19.33568414
571,53.44,0.29,1.5,17.32,29.81241482
572,75.44,0.06,1,17.32,12.2164375
573,53.44,0.29,0.5,63.36,49.99944702
574,59.85,0.4,0.5,51.19,58.77080565
575,106.88,0.52,1,28.3,69.9602447
576,88.79,0.29,0.5,56.95,46.71994657
577,88.79,0.32,1,41.28,43.54130712
578,178.13,0.2,1,28.3,24.7644206
579,129.12,0.52,1,42.96,77.27412916
580,88.79,0.06,0.5,11.79,8.361946566
581,88.79,0.52,1,13.44,62.54930712
582,115.17,0.52,0.5,57.4,83.43394944
583,88.79,0.06,1.5,51.18,30.88991437
584,75.7,0.06,1.5,55.999,33.31888947
585,75.44,0.52,0.5,64.54,87.04967694
586,178.13,0.16,1.5,13.29,16.20042785
587,191.95,0.32,1,59.378,52.52977873
588,57.95,0.32,1,10.78,28.35124438
589,106.88,0.16,0.5,17.99,15.75488414
590,53.44,0.52,1,12.6,62.20380758
591,53.44,0.26,0.5,55.72,42.94544702
592,106.88,0.23,1,53.499,39.9297447
593,106.88,0.26,1,17.99,25.0564447
594,119.69,0.23,1.5,14.34,22.10363824
595,119.69,0.52,1.5,28.66,71.89363824
596,75.7,0.26,0.5,12.6,21.33042167
597,178.13,0.23,1.5,19.96,24.88622785
598,84.78,0.29,1.5,62.68,52.42324142
599,75.7,0.29,1.5,12.09,27.14238947
600,199.49,0.2,0.5,9.497,14.2873491
